Vehicle, Value ,Collection,Rarity,PI,Owned
Extreme E #125 ABT Cupra XE (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #22 JBXE (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #23 Genesys Andretti United (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #44 X44 (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E #55 ACCIONA | Sainz XE Team (2022)," 700,000 ","""Hard to Find""",RARE,A 748,0
FIAT Dino 2.4 Coupe (1969)," 250,000 ","""Hard to Find""",RARE,D 498,0
Ford Mustang SVT Cobra R (1995)," 250,000 ","""Hard to Find""",COMMON,B 625,0
Ford F-150 Raptor R (2023)," 250,000 ","""Hard to Find""",EPIC,B 689,0
Ford Mustang GT (2024)," 250,000 ","""Hard to Find""",EPIC,A 739,0
Hyundai N Vision 74 (2022)," 250,000 ","""Hard to Find""",RARE,A 799,0
Jaguar XKR-S GT (2015)," 250,000 ","""Hard to Find""",EPIC,A 778,0
Jaguar F-TYPE SVR (2020)," 250,000 ","""Hard to Find""",RARE,S1 806,0
KTM X-Bow GT4 (2018)," 400,000 ","""Hard to Find""",EPIC,S1 845,0
Lamborghini Aventador SVJ (2018)," 500,000 ","""Hard to Find""",LEGENDARY,S1 889,0
Lancia Fulvia Coupé Rallye 1.6 HF (1968)," 250,000 ","""Hard to Find""",RARE,C 526,0
Lancia Delta S4 (1986)," 1,000,000 ","""Hard to Find""",RARE,B 682,0
Lincoln Continental (1962)," 250,000 ","""Hard to Find""",EPIC,D 381,0
Lotus Esprit Turbo (1980)," 250,000 ","""Hard to Find""",RARE,C 538,0
Lotus 340R (2000)," 250,000 ","""Hard to Find""",RARE,B 700,0
Lucid Air Sapphire (2023)," 250,000 ","""Hard to Find""",RARE,S1 884,0
McLaren 12C Coupé (2011)," 250,000 ","""Hard to Find""",EPIC,S1 832,0
McLaren 765LT (2021)," 400,000 ","""Hard to Find""",EPIC,S2 913,0
McLaren Artura (2023)," 285,000 ","""Hard to Find""",EPIC,S1 860,0
Mercedes-Benz E 55 AMG Wagon (2006)," 250,000 ","""Hard to Find""",RARE,B 698,0
Meyers Manx 2.0 EV (2023)," 250,000 ","""Hard to Find""",EPIC,B 649,0
MG #20 MG6 XPower (2020)," 250,000 ","""Hard to Find""",RARE,A 800,0
Mitsubishi FTO GP Version R (1998)," 250,000 ","""Hard to Find""",COMMON,C 585,0
Morgan Aero GT (2018)," 150,000 ","""Hard to Find""",RARE,A 784,0
Nissan GT-R NISMO (R35) (2020)," 250,000 ","""Hard to Find""",EPIC,S1 846,0
Nissan Z NISMO (2024)," 250,000 ","""Hard to Find""",EPIC,A 765,0
Pagani Huayra Coupe (2011)," 1,400,000 ","""Hard to Find""",LEGENDARY,S1 900,0
Polaris RZR Pro XP Ultimate (2021)," 250,000 ","""Hard to Find""",RARE,C 593,0
Pontiac Firebird (1968)," 250,000 ","""Hard to Find""",EPIC,C 533,0
Pontiac GTO Judge (1969)," 250,000 ","""Hard to Find""",RARE,C 545,0
Porsche #46 356 SL Gmünd Coupe (1951)," 1,000,000 ","""Hard to Find""",LEGENDARY,D 243,0
Porsche 356 C Cabriolet Emory Special (1964)," 400,000 ","""Hard to Find""",EPIC,B 651,0
Rivian R1S (2022)," 250,000 ","""Hard to Find""",RARE,A 726,0
SIERRA Cars 700R (2021)," 250,000 ","""Hard to Find""",RARE,D 414,0
Spania GTA GTA Spano (2016)," 800,000 ","""Hard to Find""",EPIC,S2 915,0
SUBARU Legacy RS (1990)," 250,000 ","""Hard to Find""",COMMON,C 514,0
SUBARU SVX (1996)," 250,000 ","""Hard to Find""",COMMON,C 574,0
SUBARU BRZ (2022)," 250,000 ","""Hard to Find""",EPIC,B 673,0
Toyota Soarer 2.5 GT-T (1997)," 250,000 ","""Hard to Find""",RARE,B 601,0
Toyota Hilux Arctic Trucks AT38 (2007)," 250,000 ","""Hard to Find""",RARE,D 457,0
Toyota 4Runner TRD Pro (2019)," 250,000 ","""Hard to Find""",RARE,C 531,0
Vauxhall Lotus Carlton (1990)," 250,000 ","""Hard to Find""",RARE,B 635,0
Volkswagen ID.4 (2021)," 250,000 ","""Hard to Find""",RARE,C 527,0
W Motors Lykan HyperSport (2016)," 3,000,000 ","""Hard to Find""",LEGENDARY,S1 877,0
